"rca","Sistema Eléctrico","estado","Comuna","nombre","Combustible","Potencia MW","Unidades","Coordenada Norte","Uso","Región","Provincia","Propietario","Coordenada Este","Datum"
"RCA 007/1996 / RCA 123/2003 - RCA 323/2005 - RCA -173/2010","SIC","EN OPERACION","RENCA","RENCA","DIESEL","100,00","2","342998,50","19","XIII REGION METROPOLITANA DE SANTIAGO","SANTIAGO","AES GENER","342998,50","WGS/84"
"RCA 250/2008","SIC","EN OPERACION","DIEGO DE ALMAGRO","EMELDA","DIESEL","69,25","2","398024,00","19","III REGION DE ATACAMA","CHANARAL","EMELDA","398024,00","WGS/84"
"RCA 11/2007","SIC","EN OPERACION","LA HIGUERA","PUNTA COLORADA","HFO380/DIESEL","17,08","10","301710,89","19","IV REGION DE COQUIMBO","ELQUI","BARRICK","301710,89","WGS/84"
"RCA 229/2007","SIC","EN OPERACION","COPIAPO","CENIZAS","IFO 180","16,29","3","362700,00","19","III REGION DE ATACAMA","COPIAPO","ELECTRICA CENIZAS","362700,00","WGS/84"
"RCA 37/2003 / 355/2005","SIC","EN OPERACION","MOSTAZAL","CANDELARIA","DIESEL","272,00","2","351020,00","19","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","CACHAPOAL","COLBUN SA","351020,00","WGS/84"
"RCA 164/2001 / RCA 104/2004","SIC","EN OPERACION","QUILLOTA","NEHUENCO III","DIESEL","103,00","1","282806,00","19","V REGION DE VALPARAISO","QUILLOTA","COLBUN SA","282806,00","WGS/84"
"RCA 179/2007","SIC","EN OPERACION","COPIAPO","CENTRAL CARDONES","DIESEL","153,04","1","363035,00","19","III REGION DE ATACAMA","COPIAPO","CENTRAL CARDONES","363035,00","WGS/84"
"SIN RCA","SIC","EN OPERACION","DIEGO DE ALMAGRO","EL SALVADOR","DIESEL","23,80","1","396308,20","19","III REGION DE ATACAMA","CHANARAL","SWC","396308,20","WGS/84"
"RCA 734/2008","SIC","EN OPERACION","CONCON","COLMITO","DIESEL","60,00","1","268676,00","19","V REGION DE VALPARAISO","VALPARAISO","TERMOELECTRICA COLMITO","268676,00","WGS/84"
"SIN RCA","SIC","EN OPERACION","CURACAUTIN","CURACAUTIN","DIESEL","2,50","6","253967,74","19","IX REGION DE LA ARAUCANIA","MALLECO","SAGESA","253967,74","WGS/84"
"SIN RCA","SIC","EN OPERACION","DIEGO DE ALMAGRO","DIEGO DE ALMAGRO","GAS NATURAL/DIESEL","23,80","1","396401,39","19","III REGION DE ATACAMA","CHANARAL","ENDESA","396401,39","WGS/84"
"SIN RCA","SIC","EN OPERACION","VALPARAISO","CURAUMA","DIESEL","2,70","3","261455,90","19","V REGION DE VALPARAISO","VALPARAISO","TECNORED","261455,90","WGS/84"
